#: table_doi: 10.17182/hepdata.59488.v1/t48
#: name: Table 48
#: description: V_n vs PT for centrality 10 TO 20%.

#: data_file: Table48.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,2.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
2.1,2.0,2.2,0.02466,0.00042,-0.00042,0.00296,-0.00296
2.3,2.2,2.4,0.02934,0.00052,-0.00052,0.00352,-0.00352
2.5,2.4,2.6,0.03243,0.00063,-0.00063,0.00389,-0.00389
2.7,2.6,2.8,0.0359,0.00077,-0.00077,0.00431,-0.00431
2.9,2.8,3.0,0.03801,0.00093,-0.00093,0.00456,-0.00456
3.1,3.0,3.2,0.03905,0.00112,-0.00112,0.00469,-0.00469
3.3,3.2,3.4,0.04295,0.00135,-0.00135,0.00515,-0.00515
3.5,3.4,3.6,0.04565,0.00161,-0.00161,0.00548,-0.00548
3.7,3.6,3.8,0.04492,0.00191,-0.00191,0.00539,-0.00539
3.9,3.8,4.0,0.04487,0.00225,-0.00225,0.00538,-0.00538
4.25,4.0,4.5,0.04333,0.00185,-0.00185,0.0052,-0.0052
4.75,4.5,5.0,0.04237,0.00265,-0.00265,0.00508,-0.00508
5.5,5.0,6.0,0.03071,0.00287,-0.00287,0.00369,-0.00369
6.5,6.0,7.0,0.01406,0.00466,-0.00466,0.00169,-0.00169
7.5,7.0,8.0,0.0169,0.00682,-0.00682,0.00203,-0.00203
9.0,8.0,10.0,0.004358,0.007449,-0.007449,0.000523,-0.000523
11.0,10.0,12.0,-0.001489,0.012837,-0.012837,0.000179,-0.000179

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,6.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,9.5e-05,0.000342,-0.000342,3.3e-05,-3.3e-05
0.7,0.6,0.8,0.000951,0.000258,-0.000258,0.000333,-0.000333
0.9,0.8,1.0,0.001565,0.000308,-0.000308,0.000548,-0.000548
1.1,1.0,1.2,0.002655,0.000373,-0.000373,0.000929,-0.000929
1.2999999999999998,1.2,1.4,0.003909,0.000453,-0.000453,0.001368,-0.001368
1.5,1.4,1.6,0.004782,0.000553,-0.000553,0.001674,-0.001674
1.7000000000000002,1.6,1.8,0.007323,0.000675,-0.000675,0.002563,-0.002563
1.9,1.8,2.0,0.008635,0.000823,-0.000823,0.003022,-0.003022
2.1,2.0,2.2,0.00977,0.001004,-0.001004,0.003419,-0.003419
2.3,2.2,2.4,0.01204,0.00122,-0.00122,0.00421,-0.00421
2.5,2.4,2.6,0.01525,0.00149,-0.00149,0.00534,-0.00534
2.7,2.6,2.8,0.01459,0.00181,-0.00181,0.00511,-0.00511
2.9,2.8,3.0,0.02129,0.00219,-0.00219,0.00745,-0.00745
3.1,3.0,3.2,0.01862,0.00264,-0.00264,0.00652,-0.00652
3.3,3.2,3.4,0.02052,0.00318,-0.00318,0.00718,-0.00718
3.5,3.4,3.6,0.02011,0.00379,-0.00379,0.00704,-0.00704
3.7,3.6,3.8,0.02196,0.00451,-0.00451,0.00768,-0.00768
3.9,3.8,4.0,0.01476,0.00532,-0.00532,0.00517,-0.00517
4.25,4.0,4.5,0.02307,0.00437,-0.00437,0.00807,-0.00807
4.75,4.5,5.0,0.01062,0.00624,-0.00624,0.00372,-0.00372
5.5,5.0,6.0,'-',0,0,0,0
6.5,6.0,7.0,'-',0,0,0,0
7.5,7.0,8.0,'-',0,0,0,0
9.0,8.0,10.0,'-',0,0,0,0
11.0,10.0,12.0,'-',0,0,0,0

